What type of vehicle do you use?,What is the fuel type of your vehicle,How often do you use your vehicle?,How would you describe your driving style,How often do you accelerate quickly?,How often do you apply sudden brakes?,What is your average driving speed?,What type of traffic do you usually experience?,How often do you face traffic congestion?,Do you often drive in stop-and-go traffic?,How would you rate your vehicle’s fuel consumption?,How often do you refuel your vehicle?,Approximately how much fuel do you use per week?,Do you think your driving behavior affects fuel consumption?,Are you using the QR-based fuel system?,Is the allocated fuel sufficient for your weekly needs?,Has fuel limitation changed your travel behavior?,What changes have you made due to fuel limits?,Distance (km)
3,2,Daily,1,Never,Never,1,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Changed routes,593
5,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Twice a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Driving more carefully,123
5,1,Daily,3,Often,Sometimes,2,3,Frequently,Yes,2,More than twice,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,144
1,1,Daily,1,Sometimes,Sometimes,1,2,Sometimes,Yes,2,More than twice,21–40  Liters,No,Yes,No,Yes,Changed routes,419
5,1,Daily,2,Sometimes,Never,3,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,185
1,1,Several times a week,1,Never,Never,4,1,Rarely,No,2,Once a week,21–40  Liters,Yes,Yes,No,Yes,Driving more carefully,376
2,2,Daily,1,Sometimes,Sometimes,2,3,Frequently,Yes,3,Once a week,61–80 Liters,Yes,Yes,No,Yes,Reduced travel,315
1,2,Several times a week,1,Never,Never,3,1,Rarely,No,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,262
5,1,Daily,2,Sometimes,Sometimes,3,1,Rarely,No,1,Twice a week,Less than 10 Liters,Yes,No,Yes,No,No change,178
4,1,Daily,2,Sometimes,Sometimes,1,3,Frequently,Yes,3,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,156
3,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,More than twice,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,237
2,2,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Once a week,81–100 Liters,Not sure,Yes,No,Yes,Changed routes,470
5,1,Several times a week,1,Sometimes,Sometimes,2,1,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,119
4,1,Several times a week,2,Often,Sometimes,3,3,Frequently,Yes,2,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,469
5,1,Daily,3,Often,Often,3,2,Frequently,No,2,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Changed routes,82
4,1,Several times a week,2,Sometimes,Often,2,1,Rarely,No,2,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,88
5,1,Daily,2,Often,Often,1,2,Frequently,No,2,More than twice,Less than 10  Liters,Yes,Yes,Yes,No,No change,75
1,1,Daily,2,Sometimes,Often,2,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,Yes,Yes,Driving more carefully,424
4,1,Daily,2,Often,Sometimes,2,2,Sometimes,Yes,2,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,365
1,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,388
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,247
1,1,Daily,1,Never,Never,1,2,Sometimes,Yes,2,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,341
1,2,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,21–40  Liters,Not sure,Yes,Yes,Yes,Changed routes,371
2,2,Daily,2,Never,Sometimes,2,2,Sometimes,Yes,2,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,155
1,1,Daily,1,Never,Never,3,2,Sometimes,No,2,Once a week,21–40  Liters,Yes,Yes,Yes,No,No change,379
1,2,Several times a week,1,Never,Never,3,1,Rarely,No,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,285
1,1,Several times a week,1,Sometimes,Sometimes,2,2,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Driving more carefully,151
5,1,Occasionally,3,Often,Often,5,1,Rarely,No,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,201
3,2,Daily,2,Sometimes,Never,3,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,530
5,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,Yes,2,Daily,Less than 10  Liters,Yes,Yes,No,Yes,No change,139
1,1,Several times a week,1,Never,Sometimes,2,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,Yes,No,No change,354
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,Not sure,Yes,Yes,Yes,Reduced travel,236
1,2,Several times a week,2,Sometimes,Sometimes,3,2,Sometimes,No,3,Once a week,21–40 Liters,Not sure,Yes,No,Yes,Reduced travel,391
5,1,Daily,1,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,96
1,2,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,21–40  Liters,Not sure,Yes,Yes,Yes,Changed routes,363
5,1,Daily,2,Sometimes,Sometimes,2,1,Rarely,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,"Reduced travel, Changed routes, Driving more carefully",410
3,2,Daily,2,Sometimes,Never,3,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,540
1,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,309
4,1,Daily,1,Sometimes,Never,2,2,Sometimes,Yes,2,More than twice,10–20 Liters,Yes,No,Yes,No,No change,387
1,2,Several times a week,3,Often,Often,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,196
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,Changed routes,129
4,1,Daily,1,Never,Never,2,1,Rarely,No,2,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,426
5,1,Several times a week,1,Sometimes,Sometimes,1,1,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,139
5,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,No,2,Twice a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,"Changed routes, Driving more carefully",161
5,1,Occasionally,1,Sometimes,Sometimes,2,2,Sometimes,Yes,1,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,"Reduced travel, Driving more carefully",232
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,2,More than twice,10–20 Liters,Yes,Yes,Yes,No,No change,294
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,No change,200
1,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Twice a week,21–40  Liters,Yes,Yes,Yes,No,No change,397
3,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,481
1,2,Daily,2,Sometimes,Sometimes,4,1,Rarely,No,3,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,363
3,1,Daily,3,Often,Often,3,3,Frequently,Yes,3,More than twice,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,120
5,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,No,1,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,54
1,1,Several times a week,1,Never,Never,4,1,Rarely,No,2,Once a week,21–40  Liters,Yes,Yes,No,Yes,Driving more carefully,376
5,1,Several times a week,2,Sometimes,Sometimes,3,2,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,119
5,1,Several times a week,2,Sometimes,Never,2,2,Sometimes,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,236
1,2,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,21–40  Liters,Not sure,Yes,Yes,Yes,Changed routes,371
2,2,Daily,2,Sometimes,Often,2,3,Frequently,Yes,3,More than twice,81–100 Liters,Yes,Yes,No,Yes,Reduced travel,455
5,1,Daily,2,Sometimes,Sometimes,2,1,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,No,Yes,Yes,Reduced travel,190
3,2,Daily,2,Sometimes,Never,3,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,530
5,1,Several times a week,2,Often,Often,3,2,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,"Reduced travel, Driving more carefully",59
3,2,Several times a week,1,Never,Never,3,2,Sometimes,No,2,Once a week,41–60 Liters,Not sure,Yes,Yes,Yes,Driving more carefully,593
1,1,Daily,2,Sometimes,Never,3,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Driving more carefully,429
4,1,Several times a week,2,Never,Sometimes,2,3,Frequently,Yes,2,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Changed routes,200
2,2,Several times a week,2,Never,Sometimes,3,2,Sometimes,Yes,3,Twice a week,61–80 Liters,No,Yes,No,Yes,Driving more carefully,340
5,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,96
5,1,Several times a week,2,Sometimes,Sometimes,3,2,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,119
1,1,Several times a week,1,Never,Sometimes,2,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,Yes,No,No change,416
4,1,Occasionally,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,No,Yes,No,Yes,Changed routes,562
1,1,Several times a week,1,Never,Sometimes,2,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,Yes,No,No change,417
1,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,123
4,1,Several times a week,2,Sometimes,Often,2,1,Rarely,No,2,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,163
5,1,Daily,2,Sometimes,Sometimes,2,1,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,No,Yes,Yes,Reduced travel,190
5,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,More than twice,Less than 10  Liters,Yes,Yes,Yes,Yes,Changed routes,92
5,1,Several times a week,2,Often,Sometimes,2,3,Frequently,Yes,1,Twice a week,Less than 10 Liters,Not sure,Yes,Yes,Yes,Changed routes,243
1,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,338
4,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,No,2,Once a week,10–20  Liters,Not sure,Yes,No,Yes,"Reduced travel, Changed routes, Driving more carefully",400
3,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,481
1,2,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,21–40  Liters,Not sure,Yes,Yes,Yes,Changed routes,363
4,1,Occasionally,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,No,Yes,No,Yes,Changed routes,421
4,1,Daily,1,Never,Never,1,1,Rarely,No,2,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,100
5,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Twice a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,"Reduced travel, Changed routes",510
1,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,No,2,Twice a week,10–20  Liters,No,Yes,Yes,No,No change,187
5,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,No,2,Twice a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,"Changed routes, Driving more carefully",161
1,2,Daily,1,Never,Sometimes,1,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,No,Yes,No,No change,385
1,1,Daily,2,Never,Sometimes,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,393
1,2,Several times a week,1,Never,Never,4,2,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,138
3,2,Daily,1,Sometimes,Never,2,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,632
4,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,More than twice,10–20  Liters,Not sure,Yes,No,Yes,Changed routes,369
1,2,Daily,1,Never,Never,3,1,Sometimes,Yes,2,More than twice,10–20  Liters,Yes,Yes,Yes,Yes,Reduced travel,294
1,2,Daily,2,Sometimes,Often,3,2,Sometimes,Yes,1,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,182
1,1,Daily,1,Never,Never,2,2,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,152
4,1,Several times a week,3,Often,Often,3,2,Sometimes,Yes,3,More than twice,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,345
5,1,Daily,2,Sometimes,Sometimes,4,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Not sure,Yes,No,Yes,"Changed routes, No change",245
1,2,Daily,1,Never,Never,4,2,Sometimes,No,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,179
1,2,Daily,2,Sometimes,Often,3,2,Sometimes,Yes,1,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,182
4,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,More than twice,10–20  Liters,Not sure,Yes,No,Yes,Changed routes,650
1,1,Daily,1,Never,Never,2,2,Sometimes,Yes,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,223
5,1,Several times a week,1,Sometimes,Sometimes,1,1,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,139
5,1,Several times a week,1,Sometimes,Sometimes,2,1,Rarely,No,1,Twice a week,Less than 10  Liters,Yes,Yes,Yes,Yes,No change,133
1,2,Several times a week,1,Never,Never,4,1,Rarely,No,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,101
5,1,Daily,2,Sometimes,Often,3,1,Rarely,No,1,Once a week,Less than 10 Liters,Yes,Yes,Yes,Yes,Changed routes,112
1,2,Daily,2,Sometimes,Often,3,2,Sometimes,Yes,1,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,182
5,1,Several times a week,1,Often,Sometimes,2,2,Sometimes,Yes,2,Twice a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Driving more carefully,116
1,2,Daily,1,Never,Never,4,2,Sometimes,No,2,Once a week,10–20  Liters,Yes,Yes,No,Yes,Driving more carefully,172
3,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,648
1,2,Several times a week,1,Never,Never,3,1,Rarely,No,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,280
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,2,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,240
3,2,Daily,1,Sometimes,Never,2,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,682
1,2,Daily,1,Never,Never,3,1,Sometimes,Yes,2,More than twice,10–20  Liters,Yes,Yes,Yes,Yes,Reduced travel,259
4,1,Daily,3,Sometimes,Often,5,2,Frequently,No,3,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,300
3,2,Daily,3,Often,Often,2,3,Frequently,Yes,3,More than twice,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,576
1,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Changed routes,133
1,2,Several times a week,2,Sometimes,Never,2,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,348
1,2,Several times a week,1,Never,Never,3,1,Rarely,No,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,240
5,1,Daily,2,Sometimes,Sometimes,2,1,Frequently,No,3,More than twice,Less than 10  Liters,No,Yes,Yes,Yes,Reduced travel,62
1,2,Daily,3,Often,Often,2,3,Frequently,Yes,2,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,180
1,1,Daily,1,Sometimes,Sometimes,2,3,Frequently,Yes,2,Twice a week,10–20  Liters,Not sure,Yes,Yes,No,Reduced travel,241
4,1,Daily,2,Never,Sometimes,3,2,Sometimes,Yes,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,342
2,2,Several times a week,3,Often,Often,3,2,Sometimes,Yes,3,Twice a week,81–100 Liters,Yes,No,Yes,No,No change,404
3,1,Daily,2,Sometimes,Sometimes,1,2,Sometimes,Yes,1,Twice a week,21–40  Liters,Yes,Yes,No,Yes,Reduced travel,411
5,1,Daily,2,Often,Often,1,2,Frequently,No,2,More than twice,Less than 10  Liters,Yes,Yes,Yes,No,No change,75
5,1,Several times a week,2,Often,Sometimes,2,3,Frequently,Yes,1,Twice a week,Less than 10 Liters,Not sure,Yes,Yes,Yes,Changed routes,243
5,1,Several times a week,1,Never,Never,3,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,420
4,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,No,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Changed routes,624
1,1,Daily,1,Sometimes,Sometimes,1,2,Sometimes,Yes,2,More than twice,21–40  Liters,No,Yes,No,Yes,Changed routes,419
5,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,Yes,2,Daily,Less than 10  Liters,Yes,Yes,No,Yes,No change,139
3,2,Daily,1,Sometimes,Never,1,1,Rarely,No,2,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,310
2,2,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,More than twice,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,255
1,2,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,Yes,Driving more carefully,263
4,1,Several times a week,3,Often,Often,3,2,Sometimes,Yes,3,More than twice,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,367
4,1,Several times a week,2,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,377
3,2,Several times a week,2,Sometimes,Sometimes,2,1,Rarely,No,2,Once a week,21–40 Liters,Yes,Yes,Yes,No,No change,421
4,1,Several times a week,3,Often,Sometimes,4,2,Frequently,No,3,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Changed routes,349
4,1,Daily,1,Never,Never,1,3,Frequently,Yes,2,Twice a week,10–20  Liters,Yes,Yes,No,Yes,Changed routes,412
1,1,Daily,2,Sometimes,Sometimes,2,1,Rarely,No,3,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,286
1,1,Daily,3,Often,Sometimes,2,3,Frequently,Yes,3,More than twice,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,99
5,2,Daily,1,Never,Never,1,3,Frequently,Yes,3,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,320
5,1,Several times a week,1,Sometimes,Sometimes,2,1,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,107
4,1,Several times a week,3,Often,Often,3,2,Sometimes,Yes,3,More than twice,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,416
1,1,Daily,2,Sometimes,Never,3,2,Sometimes,No,2,Once a week,21–40  Liters,Yes,Yes,Yes,No,No change,399
4,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,Yes,2,Twice a week,10–20  Liters,No,Yes,No,Yes,"Reduced travel, Driving more carefully",583
3,2,Daily,2,Sometimes,Sometimes,4,2,Sometimes,No,2,More than twice,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,635
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,1,Twice a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,278
1,2,Several times a week,2,Sometimes,Sometimes,4,1,Rarely,No,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,120
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,No,Yes,No,No change,300
1,1,Occasionally,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Changed routes,80
2,2,Daily,1,Often,Often,2,3,Frequently,Yes,3,Once a week,81–100 Liters,Yes,Yes,No,Yes,"Reduced travel, Changed routes",489
1,2,Daily,1,Never,Never,3,1,Sometimes,Yes,2,More than twice,10–20  Liters,Yes,Yes,Yes,Yes,Reduced travel,266
4,1,Occasionally,3,Often,Often,3,2,Frequently,No,3,Once a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,471
4,1,Daily,2,Never,Sometimes,3,2,Sometimes,Yes,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,402
5,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,Yes,Reduced travel,212
5,1,Daily,3,Sometimes,Often,3,3,Rarely,Yes,2,Once a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,No change,88
1,1,Daily,2,Never,Sometimes,3,3,Frequently,Yes,3,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,188
3,1,Daily,3,Often,Often,3,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,562
4,1,Daily,1,Sometimes,Never,2,3,Frequently,Yes,2,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,285
1,1,Several times a week,1,Sometimes,Sometimes,3,3,Sometimes,No,2,Twice a week,Less than 10  Liters,Not sure,Yes,No,No,No change,133
5,1,Several times a week,2,Often,Often,3,2,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,"Reduced travel, Driving more carefully",51
1,2,Daily,1,Never,Never,3,1,Sometimes,Yes,2,More than twice,10–20  Liters,Yes,Yes,Yes,Yes,Reduced travel,266
1,1,Daily,3,Often,Sometimes,2,3,Frequently,Yes,3,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,83
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,Changed routes,89
1,1,Several times a week,1,Never,Sometimes,2,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,Yes,No,No change,391
1,1,Several times a week,1,Sometimes,Sometimes,3,3,Sometimes,No,2,Twice a week,Less than 10  Liters,Not sure,Yes,No,No,No change,144
4,1,Occasionally,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,No,Yes,No,Yes,Changed routes,419
1,2,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,Yes,Driving more carefully,299
3,2,Daily,1,Sometimes,Never,2,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,547
1,2,Daily,3,Often,Often,3,3,Frequently,Yes,3,More than twice,10–20 Liters,Yes,Yes,Yes,No,No change,194
1,2,Several times a week,2,Sometimes,Sometimes,4,1,Rarely,No,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,156
5,1,Daily,1,Never,Sometimes,2,2,Sometimes,Yes,1,Once a week,Less than 10  Liters,Not sure,Yes,Yes,No,No change,112
1,1,Occasionally,3,Often,Often,2,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,390
2,2,Several times a week,2,Sometimes,Sometimes,2,1,Rarely,No,3,Twice a week,61–80 Liters,Yes,Yes,No,Yes,Reduced travel,355
2,2,Several times a week,2,Sometimes,Sometimes,4,2,Sometimes,Yes,3,Twice a week,61–80 Liters,No,Yes,No,Yes,Reduced travel,320
1,1,Daily,3,Often,Sometimes,2,3,Frequently,Yes,3,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,134
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,No,Yes,No,No change,249
1,1,Several times a week,1,Never,Sometimes,2,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,Yes,No,No change,483
3,1,Daily,2,Sometimes,Sometimes,4,2,Sometimes,Yes,2,Once a week,10–20  Liters,Not sure,Yes,No,Yes,"Changed routes, No change",200
1,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Twice a week,21–40  Liters,Yes,Yes,Yes,No,No change,409
1,2,Daily,3,Often,Often,3,2,Sometimes,Yes,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,133
1,2,Daily,1,Never,Sometimes,1,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,No,Yes,No,No change,350
4,1,Daily,2,Sometimes,Sometimes,3,2,Frequently,Yes,2,Twice a week,10–20  Liters,Yes,Yes,No,Yes,Reduced travel,572
5,1,Daily,2,Sometimes,Sometimes,3,1,Rarely,No,1,Twice a week,Less than 10 Liters,Yes,No,Yes,No,No change,169
1,2,Daily,2,Sometimes,Sometimes,4,2,Sometimes,No,2,Once a week,10–20  Liters,Yes,Yes,No,Yes,Driving more carefully,98
1,2,Several times a week,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,365
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,259
1,1,Daily,2,Sometimes,Often,2,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,Yes,Yes,Driving more carefully,397
1,2,Daily,2,Sometimes,Often,3,2,Sometimes,Yes,1,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,184
4,2,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,Yes,Driving more carefully,534
5,1,Occasionally,2,Never,Often,3,3,Frequently,Yes,1,Once a week,Less than 10  Liters,No,Yes,No,Yes,Reduced travel,280
4,1,Daily,1,Never,Never,1,2,Sometimes,Yes,2,Once a week,10–20  Liters,Yes,Yes,No,Yes,Reduced travel,397
5,1,Daily,1,Often,Sometimes,2,2,Frequently,Yes,2,Once a week,Less than 10  Liters,No,Yes,Yes,Yes,Driving more carefully,108
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,Changed routes,139
5,1,Daily,1,Never,Sometimes,3,2,Sometimes,Yes,1,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,240
