What type of vehicle do you use?,What is the fuel type of your vehicle,How often do you use your vehicle?,How would you describe your driving style,How often do you accelerate quickly?,How often do you apply sudden brakes?,What is your average driving speed?,What type of traffic do you usually experience?,How often do you face traffic congestion?,Do you often drive in stop-and-go traffic?,How would you rate your vehicle’s fuel consumption?,How often do you refuel your vehicle?,Approximately how much fuel do you use per week?,Do you think your driving behavior affects fuel consumption?,Are you using the QR-based fuel system?,Is the allocated fuel sufficient for your weekly needs?,Has fuel limitation changed your travel behavior?,What changes have you made due to fuel limits?,Distance (km)
1,1,Daily,1,Sometimes,Sometimes,2,2,Rarely,Yes,2,Once a week,10–20  Liters,Yes,Yes,No,Yes,"Changed routes, Driving more carefully",152
3,1,Daily,2,Sometimes,Sometimes,2,1,Sometimes,Yes,2,More than twice,21–40  Liters,Yes,Yes,Yes,No,No change,394
5,1,Several times a week,1,Sometimes,Sometimes,1,1,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,139
2,2,Daily,2,Sometimes,Sometimes,1,2,Rarely,Yes,2,More than twice,41–60 Liters,Yes,Yes,Yes,No,No change,220
1,1,Several times a week,2,Sometimes,Sometimes,3,2,Rarely,Yes,2,Twice a week,10–20  Liters,No,Yes,No,Yes,Reduced travel,243
5,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,Yes,3,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,Driving more carefully,76
5,1,Daily,3,Often,Often,2,3,Sometimes,Yes,1,Once a week,Less than 10  Liters,Not sure,Yes,Yes,Yes,Driving more carefully,500
5,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,No,1,Once a week,Less than 10  Liters,No,Yes,Yes,No,Reduced travel,242
1,1,Daily,1,Sometimes,Sometimes,1,2,Sometimes,Yes,2,More than twice,21–40  Liters,No,Yes,No,Yes,Changed routes,419
6,2,Several times a week,2,Sometimes,Sometimes,2,2,Frequently,No,2,Twice a week,More than 100 Liters,Not sure,Yes,No,No,"Reduced travel, Changed routes, Driving more carefully",980
5,1,Daily,2,Sometimes,Often,2,2,Frequently,No,2,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,560
5,1,Several times a week,1,Often,Sometimes,2,2,Sometimes,Yes,2,Twice a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Driving more carefully,700
1,1,Daily,1,Sometimes,Sometimes,2,2,Frequently,Yes,2,Once a week,10–20  Liters,Yes,Yes,Yes,No,Driving more carefully,167
5,1,Several times a week,2,Sometimes,Sometimes,3,2,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,119
4,1,Daily,1,Sometimes,Sometimes,2,2,Frequently,No,1,Once a week,10–20  Liters,Yes,Yes,Yes,No,Driving more carefully,710
1,2,Several times a week,1,Sometimes,Sometimes,2,1,Rarely,Yes,2,Twice a week,10–20  Liters,Not sure,Yes,Yes,Yes,Reduced travel,280
5,1,Daily,1,Often,Sometimes,2,2,Frequently,Yes,2,Once a week,Less than 10  Liters,No,Yes,Yes,Yes,Driving more carefully,119
5,1,Several times a week,1,Sometimes,Sometimes,2,1,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,Yes,Reduced travel,480
5,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,Yes,2,Daily,Less than 10  Liters,Yes,Yes,No,Yes,No change,139
1,2,Daily,1,Never,Never,3,1,Sometimes,Yes,2,More than twice,10–20  Liters,Yes,Yes,Yes,Yes,Reduced travel,290
4,1,Daily,1,Never,Never,2,3,Frequently,Yes,2,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,280
1,2,Daily,1,Never,Sometimes,1,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,No,Yes,No,No change,385
1,1,Several times a week,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,410
4,1,Daily,1,Never,Never,1,1,Rarely,No,2,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,150
5,1,Daily,2,Sometimes,Sometimes,2,2,Frequently,No,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,Yes,Reduced travel,600
1,1,Occasionally,3,Often,Often,2,3,Frequently,Yes,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,148
3,2,Daily,1,Sometimes,Never,1,1,Rarely,No,2,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,310
6,2,Occasionally,3,Sometimes,Often,4,2,Sometimes,No,3,Once a week,61–80 Liters,Yes,Yes,No,Yes,Driving more carefully,320
1,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,309
1,1,Daily,3,Often,Often,4,1,Rarely,No,3,More than twice,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,132
5,1,Several times a week,1,Never,Never,1,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,111
